code,name
000013.SZ,*ST石化A(退市)
000014.SZ,沙河股份
000017.SZ,深中华A
000027.SZ,深圳能源
000028.SZ,国药一致
000043.SZ,中航善达
000070.SZ,特发信息
000078.SZ,海王生物
000096.SZ,广聚能源
000400.SZ,许继电气
000419.SZ,通程控股
000430.SZ,张家界
000510.SZ,新金路
000513.SZ,丽珠集团
000516.SZ,国际医学
000522.SZ,白云山A(退市)
000543.SZ,皖能电力
000544.SZ,中原环保
000546.SZ,金圆股份
000565.SZ,渝三峡A
000566.SZ,海南海药
000572.SZ,*ST海马
000573.SZ,粤宏远A
000584.SZ,哈工智能
000586.SZ,汇源通信
000595.SZ,宝塔实业
000600.SZ,建投能源
000628.SZ,高新发展
000630.SZ,铜陵有色
000633.SZ,合金投资
000637.SZ,茂化实华
000638.SZ,万方发展
000655.SZ,金岭矿业
000659.SZ,珠海中富
000668.SZ,荣丰控股
000670.SZ,*ST盈方
000686.SZ,东北证券
000690.SZ,宝新能源
000692.SZ,惠天热电
000693.SZ,华泽退(退市)
000697.SZ,炼石航空
000700.SZ,模塑科技
000707.SZ,ST双环
000735.SZ,罗牛山
000787.SZ,*ST创智(退市)
000791.SZ,甘肃电投
000803.SZ,金宇车城
000813.SZ,德展健康
000816.SZ,ST慧业
000819.SZ,岳阳兴长
000821.SZ,京山轻机
000835.SZ,长城动漫
000848.SZ,承德露露
000852.SZ,石化机械
000860.SZ,顺鑫农业
000898.SZ,鞍钢股份
000900.SZ,现代投资
000921.SZ,海信家电
000935.SZ,四川双马
000938.SZ,紫光股份
000951.SZ,中国重汽
000956.SZ,中原油气(退市)
000961.SZ,中南建设
000965.SZ,天保基建
000966.SZ,长源电力
000980.SZ,众泰汽车
000993.SZ,闽东电力
002004.SZ,华邦健康
002006.SZ,精功科技
002010.SZ,传化智联
002013.SZ,中航机电
002018.SZ,华信退(退市)
002021.SZ,*ST中捷
002032.SZ,苏泊尔
002035.SZ,华帝股份
002036.SZ,联创电子
002048.SZ,宁波华翔
002054.SZ,德美化工
002064.SZ,华峰氨纶
002090.SZ,金智科技
002093.SZ,国脉科技
002119.SZ,康强电子
002120.SZ,韵达股份
002130.SZ,沃尔核材
002133.SZ,广宇集团
002136.SZ,安纳达
002138.SZ,顺络电子
002144.SZ,宏达高科
002147.SZ,ST新光
002167.SZ,东方锆业
002172.SZ,澳洋健康
002177.SZ,御银股份
002183.SZ,怡亚通
002190.SZ,*ST集成
002200.SZ,*ST云投
002206.SZ,海利得
002208.SZ,合肥城建
002225.SZ,濮耐股份
002227.SZ,奥特迅
002253.SZ,川大智胜
002261.SZ,拓维信息
002282.SZ,博深股份
002291.SZ,星期六
002293.SZ,罗莱生活
002502.SZ,鼎龙文化
002503.SZ,搜于特
002504.SZ,弘高创意
002505.SZ,大康农业
002507.SZ,涪陵榨菜
002508.SZ,老板电器
002509.SZ,天广中茂
002510.SZ,天汽模
002511.SZ,中顺洁柔
002512.SZ,达华智能
002513.SZ,蓝丰生化
002514.SZ,宝馨科技
002515.SZ,金字火腿
002516.SZ,旷达科技
002517.SZ,恺英网络
002519.SZ,银河电子
002520.SZ,日发精机
002522.SZ,浙江众成
002524.SZ,光正集团
002526.SZ,山东矿机
002528.SZ,英飞拓
002531.SZ,天顺风能
002532.SZ,新界泵业
002533.SZ,金杯电工
002534.SZ,杭锅股份
002535.SZ,林州重机
002536.SZ,飞龙股份
002537.SZ,海联金汇
002539.SZ,云图控股
002540.SZ,亚太科技
002541.SZ,鸿路钢构
002542.SZ,中化岩土
002543.SZ,万和电气
002545.SZ,东方铁塔
002546.SZ,新联电子
002547.SZ,春兴精工
002548.SZ,金新农
002550.SZ,千红制药
002551.SZ,尚荣医疗
002552.SZ,宝鼎科技
002553.SZ,南方轴承
002554.SZ,惠博普
002555.SZ,三七互娱
002556.SZ,辉隆股份
002557.SZ,洽洽食品
002558.SZ,巨人网络
002559.SZ,亚威股份
002560.SZ,通达股份
002562.SZ,兄弟科技
002563.SZ,森马服饰
002564.SZ,天沃科技
002565.SZ,顺灏股份
002567.SZ,唐人神
002568.SZ,百润股份
002570.SZ,贝因美
002571.SZ,德力股份
002572.SZ,索菲亚
002573.SZ,清新环境
002574.SZ,明牌珠宝
002575.SZ,群兴玩具
002576.SZ,通达动力
002577.SZ,雷柏科技
002578.SZ,闽发铝业
002579.SZ,中京电子
002580.SZ,圣阳股份
002581.SZ,未名医药
002582.SZ,好想你
002583.SZ,海能达
002584.SZ,西陇科学
002585.SZ,双星新材
002586.SZ,ST围海
002587.SZ,奥拓电子
002588.SZ,史丹利
002589.SZ,瑞康医药
002590.SZ,万安科技
002592.SZ,八菱科技
002593.SZ,日上集团
002594.SZ,比亚迪
002596.SZ,海南瑞泽
002597.SZ,金禾实业
002598.SZ,山东章鼓
002600.SZ,领益智造
002601.SZ,龙蟒佰利
002602.SZ,世纪华通
002603.SZ,以岭药业
002604.SZ,*ST龙力
002605.SZ,姚记科技
002606.SZ,大连电瓷
002607.SZ,中公教育
002608.SZ,江苏国信
002609.SZ,捷顺科技
002610.SZ,爱康科技
002611.SZ,东方精工
002612.SZ,朗姿股份
002616.SZ,长青集团
002617.SZ,露笑科技
002618.SZ,丹邦科技
002619.SZ,艾格拉斯
002620.SZ,瑞和股份
002621.SZ,美吉姆
002623.SZ,亚玛顿
002624.SZ,完美世界
002625.SZ,光启技术
002626.SZ,金达威
002627.SZ,宜昌交运
002628.SZ,成都路桥
002629.SZ,*ST仁智
002631.SZ,德尔未来
002632.SZ,道明光学
002633.SZ,申科股份
002634.SZ,棒杰股份
002635.SZ,安洁科技
002636.SZ,金安国纪
002637.SZ,赞宇科技
002638.SZ,勤上股份
002639.SZ,雪人股份
002640.SZ,跨境通
002641.SZ,永高股份
002642.SZ,*ST荣联
002645.SZ,华宏科技
002646.SZ,青青稞酒
002647.SZ,仁东控股
002648.SZ,卫星石化
002649.SZ,博彦科技
002650.SZ,加加食品
002651.SZ,利君股份
002652.SZ,扬子新材
002655.SZ,共达电声
002656.SZ,ST摩登
002662.SZ,京威股份
002664.SZ,长鹰信质
002666.SZ,德联集团
002667.SZ,鞍重股份
002668.SZ,奥马电器
002673.SZ,西部证券
002688.SZ,金河生物
002702.SZ,海欣食品
002706.SZ,良信电器
002717.SZ,岭南股份
002734.SZ,利民股份
002736.SZ,国信证券
002738.SZ,中矿资源
002743.SZ,富煌钢构
002745.SZ,木林森
002769.SZ,普路通
002778.SZ,高科石化
002783.SZ,凯龙股份
002830.SZ,名雕股份
002911.SZ,佛燃能源
600062.SH,华润双鹤
600070.SH,浙江富润
600200.SH,江苏吴中
600271.SH,航天信息
600358.SH,国旅联合
600425.SH,青松建化
600461.SH,洪城水业
600485.SH,*ST信威
600506.SH,香梨股份
600511.SH,国药股份
600578.SH,京能电力
600624.SH,复旦复华
600706.SH,曲江文旅
600720.SH,祁连山
600764.SH,中国海防
600771.SH,广誉远
600794.SH,保税科技
600803.SH,新奥股份
601600.SH,中国铝业
601991.SH,大唐发电
300826.SZ,测绘股份
